canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
Cc1cc(C(N)=O)c2c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n(C)c2n1,CHEMBL287400,IC50,nM,210.0,IC50,uM,0.21
Cn1c2ccncc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL430724,IC50,nM,17850.0,IC50,uM,17.85
O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2CCc1ccccc1,CHEMBL285343,IC50,nM,11790.0,IC50,uM,11.79
CCCCOc1ccc(-n2ccnc2)cc1,CHEMBL112532,IC50,nM,348.0,IC50,nM,348.0
CCCCOc1ccc(-c2cccnc2)cc1,CHEMBL151646,IC50,nM,29300.0,IC50,nM,29300.0
CCCCOc1ccc(-c2cc(C)no2)cc1,CHEMBL422858,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-c2[nH]ncc2C)cc1,CHEMBL434317,IC50,nM,26800.0,IC50,nM,26800.0
CCCCOc1ccc(-c2ccno2)cc1,CHEMBL150681,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1cccc(-c2ccno2)c1,CHEMBL151449,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-n2cncn2)cc1,CHEMBL345544,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-c2cc[nH]c2)cc1,CHEMBL359116,IC50,nM,7520.0,IC50,nM,7520.0
CCCCOc1ccc(-c2cc[n+](C)[nH]2)cc1,CHEMBL347303,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-c2ccncc2)cc1,CHEMBL151280,IC50,nM,51100.0,IC50,nM,51100.0
CCCCOc1ccccc1-c1ccno1,CHEMBL150799,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-n2ccnc2C)cc1,CHEMBL358214,IC50,nM,50900.0,IC50,nM,50900.0
CCCCOc1ccc(-c2ccnn2C)cc1,CHEMBL151037,IC50,nM,93800.0,IC50,nM,93800.0
CCCCOc1ccc(N/C=N\O)cc1,CHEMBL348263,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-c2cnccn2)cc1,CHEMBL150146,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-c2ccns2)cc1,CHEMBL151354,IC50,nM,22900.0,IC50,nM,22900.0
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,CHEMBL341089,IC50,nM,400.0,IC50,uM,0.4
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3cccc(Cl)c3)c2)C[C@H]1C(=O)NCC(F)(F)F,CHEMBL276081,IC50,nM,80.0,IC50,uM,0.08
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(F)c(F)c3F)c2)C[C@H]1C(=O)NCC(F)(F)F,CHEMBL334379,IC50,nM,50.0,IC50,uM,0.05
CCCCOc1ccc(-c2cnco2)cc1,CHEMBL358216,IC50,nM,58100.0,IC50,nM,58100.0
CCCCOc1ccc(-c2ccon2)cc1,CHEMBL433737,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-c2nn[nH]n2)cc1,CHEMBL150278,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-c2ccncn2)cc1,CHEMBL151974,IC50,nM,100000.0,IC50,nM,100000.0
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(Cl)cc3)c2)C[C@H]1C(=O)NCC(F)(F)F,CHEMBL127589,IC50,nM,50.0,IC50,uM,0.05
CCCCOc1ccc(-c2cc[nH]n2)cc1,CHEMBL149750,IC50,nM,70600.0,IC50,nM,70600.0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,CHEMBL5483011,IC50,nM,150.0,IC50,uM,0.15
CCCCOc1ccc(-n2cncc2C)cc1,CHEMBL358880,IC50,nM,116.0,IC50,nM,116.0
CCCCc1ccc(/N=C/NO)c(C)c1,CHEMBL267865,IC50,nM,65400.0,IC50,nM,65400.0
CCCCOc1ccc(-c2cc(C)[nH]n2)cc1,CHEMBL356594,IC50,nM,100000.0,IC50,nM,100000.0
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccc3)o2)C[C@H]1C(=O)NCC(F)(F)F,CHEMBL444533,IC50,nM,430.0,IC50,uM,0.43
CCCCOc1ccc(-c2ccccn2)cc1,CHEMBL150653,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-c2c[nH]cn2)cc1,CHEMBL151170,IC50,nM,883.0,IC50,nM,883.0
CCCCOc1ccc(-c2ncc[nH]2)cc1,CHEMBL150999,IC50,nM,44300.0,IC50,nM,44300.0
CCCCOc1ccc(-c2oncc2C)cc1,CHEMBL151038,IC50,nM,100000.0,IC50,nM,100000.0
CCCCOc1ccc(-n2cnc(C)c2)cc1,CHEMBL151207,IC50,nM,9170.0,IC50,nM,9170.0
O=C1c2ccccc2CCCN1CCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,CHEMBL273921,IC50,nM,100000.0,IC50,uM,100.0
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CHEMBL163,IC50,nM,250.0,IC50,uM,0.25
COc1ccc(CN2CCN(C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)OCc3csc(C)n3)C(C)C)[C@H](C(=O)NC(C)(C)C)C2)cc1OC,CHEMBL442398,IC50,nM,120000.0,IC50,uM,120.0
CCc1ncc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3ccc(OC)c(OC)c3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)s1,CHEMBL331186,IC50,nM,35000.0,IC50,uM,35.0
CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cccnc3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,CHEMBL324033,IC50,nM,2300.0,IC50,uM,2.3
CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3ccc4c(c3)OCO4)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,CHEMBL116772,IC50,nM,9600.0,IC50,uM,9.6
CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cncs3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,CHEMBL263179,IC50,nM,15000.0,IC50,uM,15.0
CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cccc4c3COC4)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,CHEMBL3706711,IC50,nM,12000.0,IC50,uM,12.0
CN(C)CCCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CHEMBL87355,IC50,nM,17000.0,IC50,uM,17.0
CCN(CC)CCCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CHEMBL315766,IC50,nM,2000.0,IC50,uM,2.0
CN(C)C(=O)CN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CHEMBL85080,IC50,nM,500.0,IC50,uM,0.5
Cn1cc(Cc2cn(CC(=O)N(CC(=O)O)Cc3ccc(-c4ccc(C(F)(F)F)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CHEMBL89750,IC50,nM,31000.0,IC50,uM,31.0
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CHEMBL10921,IC50,nM,10000.0,IC50,uM,10.0
COc1ncc(Cc2cn(CC(=O)N(CC(=O)N(C)C)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CHEMBL84894,IC50,nM,500.0,IC50,uM,0.5
Cn1cc(Cc2cn(CC(=O)N(CCN)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CHEMBL87071,IC50,nM,15000.0,IC50,uM,15.0
Cn1cc(Cc2cn(CC(=O)N(CCO)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CHEMBL276856,IC50,nM,19000.0,IC50,uM,19.0
CN(C)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CHEMBL415274,IC50,nM,8000.0,IC50,uM,8.0
CN1CCN(CCCN(Cc2ccc(-c3ccc(Cl)cc3)cc2)C(=O)Cn2cc(Cc3cnn(C)c3)c(=O)nc2SCc2ccc(F)cc2)CC1,CHEMBL327705,IC50,nM,10000.0,IC50,uM,10.0
CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CHEMBL86932,IC50,nM,5000.0,IC50,uM,5.0
CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cc3cnccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,CHEMBL312238,IC50,nM,310.0,IC50,uM,0.31
Cn1cc(Cc2cn(CC(=O)N(CCN3CCCCC3)Cc3ccc(-c4ccc(C(F)(F)F)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CHEMBL314768,IC50,nM,10000.0,IC50,uM,10.0
Cn1cc(Cc2cn(CC(=O)N(CCN3CCCC3)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CHEMBL405981,IC50,nM,6000.0,IC50,uM,6.0
